Date,Day,Tag,Country,Value
2015-01-02,286,Cases,Guinea,0
2015-01-02,286,Cases,Liberia,8157
2015-01-02,286,Cases,Mali,0
2015-01-02,286,Cases,Nigeria,0
2015-01-02,286,Cases,Senegal,0
2015-01-02,286,Cases,SierraLeone,0
2015-01-02,286,Cases,Spain,0
2015-01-02,286,Cases,UnitedStates,0
2015-01-02,286,Deaths,Guinea,0
2015-01-02,286,Deaths,Liberia,3496
2015-01-02,286,Deaths,Mali,0
2015-01-02,286,Deaths,Nigeria,0
2015-01-02,286,Deaths,Senegal,0
2015-01-02,286,Deaths,SierraLeone,0
2015-01-02,286,Deaths,Spain,0
2015-01-02,286,Deaths,UnitedStates,0
2015-01-03,287,Cases,Guinea,2769
2015-01-03,287,Cases,Liberia,8166
2015-01-03,287,Cases,Mali,0
2015-01-03,287,Cases,Nigeria,0
2015-01-03,287,Cases,Senegal,0
2015-01-03,287,Cases,SierraLeone,9722
2015-01-03,287,Cases,Spain,0
2015-01-03,287,Cases,UnitedStates,0
2015-01-03,287,Deaths,Guinea,1767
2015-01-03,287,Deaths,Liberia,3496
2015-01-03,287,Deaths,Mali,0
2015-01-03,287,Deaths,Nigeria,0
2015-01-03,287,Deaths,Senegal,0
2015-01-03,287,Deaths,SierraLeone,2915
2015-01-03,287,Deaths,Spain,0
2015-01-03,287,Deaths,UnitedStates,0
2015-01-04,288,Cases,Guinea,2775
2015-01-04,288,Cases,Liberia,0
2015-01-04,288,Cases,Mali,0
2015-01-04,288,Cases,Nigeria,0
2015-01-04,288,Cases,Senegal,0
2015-01-04,288,Cases,SierraLeone,9780
2015-01-04,288,Cases,Spain,0
2015-01-04,288,Cases,UnitedStates,0
2015-01-04,288,Deaths,Guinea,1781
2015-01-04,288,Deaths,Liberia,0
2015-01-04,288,Deaths,Mali,0
2015-01-04,288,Deaths,Nigeria,0
2015-01-04,288,Deaths,Senegal,0
2015-01-04,288,Deaths,SierraLeone,2943
2015-01-04,288,Deaths,Spain,0
2015-01-04,288,Deaths,UnitedStates,0
2015-01-05,289,Cases,Guinea,2776
2015-01-05,289,Cases,Liberia,0
2015-01-05,289,Cases,Mali,0
2015-01-05,289,Cases,Nigeria,0
2015-01-05,289,Cases,Senegal,0
2015-01-05,289,Cases,SierraLeone,10030
2015-01-05,289,Cases,Spain,0
2015-01-05,289,Cases,UnitedStates,0
2015-01-05,289,Deaths,Guinea,1786
2015-01-05,289,Deaths,Liberia,0
2015-01-05,289,Deaths,Mali,0
2015-01-05,289,Deaths,Nigeria,0
2015-01-05,289,Deaths,Senegal,0
2015-01-05,289,Deaths,SierraLeone,2977
2015-01-05,289,Deaths,Spain,0
2015-01-05,289,Deaths,UnitedStates,0
2014-10-01,193,Cases,Guinea,1199
2014-10-01,193,Cases,Liberia,3834
2014-10-01,193,Cases,Mali,0
2014-10-01,193,Cases,Nigeria,20
2014-10-01,193,Cases,Senegal,1
2014-10-01,193,Cases,SierraLeone,2437
2014-10-01,193,Cases,Spain,0
2014-10-01,193,Cases,UnitedStates,1
2014-10-01,193,Deaths,Guinea,739
2014-10-01,193,Deaths,Liberia,2069
2014-10-01,193,Deaths,Mali,0
2014-10-01,193,Deaths,Nigeria,8
2014-10-01,193,Deaths,Senegal,0
2014-10-01,193,Deaths,SierraLeone,623
2014-10-01,193,Deaths,Spain,0
2014-10-01,193,Deaths,UnitedStates,0
2014-10-11,203,Cases,Guinea,0
2014-10-11,203,Cases,Liberia,4249
2014-10-11,203,Cases,Mali,0
2014-10-11,203,Cases,Nigeria,0
2014-10-11,203,Cases,Senegal,0
2014-10-11,203,Cases,SierraLeone,0
2014-10-11,203,Cases,Spain,0
2014-10-11,203,Cases,UnitedStates,0
2014-10-11,203,Deaths,Guinea,0
2014-10-11,203,Deaths,Liberia,2458
2014-10-11,203,Deaths,Mali,0
2014-10-11,203,Deaths,Nigeria,0
2014-10-11,203,Deaths,Senegal,0
2014-10-11,203,Deaths,SierraLeone,0
2014-10-11,203,Deaths,Spain,0
2014-10-11,203,Deaths,UnitedStates,0
2014-10-12,204,Cases,Guinea,1472
2014-10-12,204,Cases,Liberia,0
2014-10-12,204,Cases,Mali,0
2014-10-12,204,Cases,Nigeria,20
2014-10-12,204,Cases,Senegal,1
2014-10-12,204,Cases,SierraLeone,3252
2014-10-12,204,Cases,Spain,1
2014-10-12,204,Cases,UnitedStates,2
2014-10-12,204,Deaths,Guinea,843
2014-10-12,204,Deaths,Liberia,0
2014-10-12,204,Deaths,Mali,0
2014-10-12,204,Deaths,Nigeria,8
2014-10-12,204,Deaths,Senegal,0
2014-10-12,204,Deaths,SierraLeone,1183
2014-10-12,204,Deaths,Spain,1
2014-10-12,204,Deaths,UnitedStates,1
2014-10-13,205,Cases,Guinea,0
2014-10-13,205,Cases,Liberia,4262
2014-10-13,205,Cases,Mali,0
2014-10-13,205,Cases,Nigeria,0
2014-10-13,205,Cases,Senegal,0
2014-10-13,205,Cases,SierraLeone,0
2014-10-13,205,Cases,Spain,0
2014-10-13,205,Cases,UnitedStates,0
2014-10-13,205,Deaths,Guinea,0
2014-10-13,205,Deaths,Liberia,2484
2014-10-13,205,Deaths,Mali,0
2014-10-13,205,Deaths,Nigeria,0
2014-10-13,205,Deaths,Senegal,0
2014-10-13,205,Deaths,SierraLeone,0
2014-10-13,205,Deaths,Spain,0
2014-10-13,205,Deaths,UnitedStates,0
2014-10-14,206,Cases,Guinea,1519
2014-10-14,206,Cases,Liberia,0
